id,created_at,text,rt_count,fav_count,english
1127540389299113984,2019-05-12 11:45:52+00:00,First home buyers will get a significant leg up with our new initiative to slash the size of a home loan deposit. We want to help make the dreams of first home buyers a reality.  Read more: https://t.co/NkOjWVOSu1 #BuildingOurEconomy https://t.co/mECCJgwemD,101,447,First home buyers will get a significant leg up with our new initiative to slash the size of a home loan deposit. We want to help make the dreams of first home buyers a reality.  Read more: https://t.co/NkOjWVOSu1 #BuildingOurEconomy https://t.co/mECCJgwemD 
1127491090670481408,2019-05-12 08:29:58+00:00,My mum Marion taught me everything I know about leadership. Happy #MothersDay mum! x https://t.co/LFpSyb2PSZ,115,936,My mum Marion taught me everything I know about leadership. Happy #MothersDay mum! x https://t.co/LFpSyb2PSZ 
1127478061140566016,2019-05-12 07:38:11+00:00,"Jen doesn’t like the spotlight much, but her warmth and authenticity is appreciated by everyone who meets her. Happy #MothersDay Jen and thank you! x  https://t.co/fbNLpRe7DD",60,427,"Jen doesn’t like the spotlight much, but her warmth and authenticity is appreciated by everyone who meets her. Happy #MothersDay Jen and thank you! x  https://t.co/fbNLpRe7DD "
1127472924691025921,2019-05-12 07:17:47+00:00,The amazing women in my life. Couldn’t love them more. Happy #MothersDay Jen and Mum! https://t.co/6ErqZzrBIS,50,387,The amazing women in my life. Couldn’t love them more. Happy #MothersDay Jen and Mum! https://t.co/6ErqZzrBIS 
1127424248815841281,2019-05-12 04:04:22+00:00,My family are so grateful for the opportunities we have been given here in Australia. Life often throws things at you that challenge your aspirations. But everyday I’m inspired by Australians who are seizing opportunities &amp; overcoming their challenges. https://t.co/Ttb3kS53fz,226,1830,My family are so grateful for the opportunities we have been given here in Australia. Life often throws things at you that challenge your aspirations. But everyday I’m inspired by Australians who are seizing opportunities &amp; overcoming their challenges. https://t.co/Ttb3kS53fz 
1127401915669667842,2019-05-12 02:35:37+00:00,"We're asking Australians for your support next Saturday to vote Liberal &amp; National. So together we can build our economy to secure your future, and so we can keep the promise of Australia, to Australians, in this generation and the next.",143,762,"We're asking Australians for your support next Saturday to vote Liberal &amp; National. So together we can build our economy to secure your future, and so we can keep the promise of Australia, to Australians, in this generation and the next. "
1127396940444880896,2019-05-12 02:15:51+00:00,"I am pleased to announce $53 million in new measures today: A new ‘Mums, Dads and Bubs Check’ to boost perinatal support and tackle postnatal depression.",37,196,"I am pleased to announce $53 million in new measures today: A new ‘Mums, Dads and Bubs Check’ to boost perinatal support and tackle postnatal depression. "
1127394854575558656,2019-05-12 02:07:33+00:00,"Our new First Home Loan Deposit Scheme will enable first home owners to buy their first home with a deposit of down to 5%. This will make a big difference, cutting the time taken to save for a deposit by at least half. #BuildingOurEconomy",75,306,"Our new First Home Loan Deposit Scheme will enable first home owners to buy their first home with a deposit of down to 5%. This will make a big difference, cutting the time taken to save for a deposit by at least half. #BuildingOurEconomy "
1127394383911743488,2019-05-12 02:05:41+00:00,A strong economy has enabled us to invest in the essentials that Australians rely on. #BuildingOurEconomy,25,127,A strong economy has enabled us to invest in the essentials that Australians rely on. #BuildingOurEconomy 
1127393647727501312,2019-05-12 02:02:46+00:00,We believe you should keep more of what you earn because your money is better off in your hands than the Government’s. #BuildingOurEconomy,43,263,We believe you should keep more of what you earn because your money is better off in your hands than the Government’s. #BuildingOurEconomy 
1127393515183362055,2019-05-12 02:02:14+00:00,"By staying on this path we will eliminate the debt within the decade, without raising your taxes. #BuildingOurEconomy",22,153,"By staying on this path we will eliminate the debt within the decade, without raising your taxes. #BuildingOurEconomy "
1127392671540973568,2019-05-12 01:58:53+00:00,"A plan that will give an additional 80,000 Australians a career by gaining an apprenticeship. #BuildingOurEconomy",13,88,"A plan that will give an additional 80,000 Australians a career by gaining an apprenticeship. #BuildingOurEconomy "
1127392559054172161,2019-05-12 01:58:26+00:00,A plan that will see 1.25 million more Australians get a job over the next five years. One in five of those jobs will be for young Australians. #BuildingOurEconomy,22,106,A plan that will see 1.25 million more Australians get a job over the next five years. One in five of those jobs will be for young Australians. #BuildingOurEconomy 
1127391929795137537,2019-05-12 01:55:56+00:00,It is my vision for this country as your Prime Minister to keep the Promise of Australia to all Australians.,187,1225,It is my vision for this country as your Prime Minister to keep the Promise of Australia to all Australians. 
1127391286900678656,2019-05-12 01:53:23+00:00,An Australia where you can live in an economy that enables you and your family to enjoy the best living standards and be able to plan for your future with confidence.,26,165,An Australia where you can live in an economy that enables you and your family to enjoy the best living standards and be able to plan for your future with confidence. 
1127391152863268865,2019-05-12 01:52:51+00:00,"An Australia where if you have a go – you’ll get a go – where you’re rewarded and respected for your efforts, and contribution.",55,364,"An Australia where if you have a go – you’ll get a go – where you’re rewarded and respected for your efforts, and contribution. "
1127389739424702464,2019-05-12 01:47:14+00:00,"Christopher, has just started work up in Gladstone at Purcell’s Engineering, where his father has been an employee for years. https://t.co/q6tOYsPmjd",16,89,"Christopher, has just started work up in Gladstone at Purcell’s Engineering, where his father has been an employee for years. https://t.co/q6tOYsPmjd "
1127389377846435842,2019-05-12 01:45:48+00:00,"My family’s story is not uncommon. Australians quietly going about their lives with simple, decent, honest aspirations.",37,230,"My family’s story is not uncommon. Australians quietly going about their lives with simple, decent, honest aspirations. "
1127102623197188097,2019-05-11 06:46:20+00:00,"Sport brings communities together. It also helps keep you active &amp; healthy. Female athletes will be the main beneficiaries of our $70m commitment today a range of new sport initiatives, which builds on our $2.5 billion investment in sport since we were elected. https://t.co/SSZchJT1kS",47,259,"Sport brings communities together. It also helps keep you active &amp; healthy. Female athletes will be the main beneficiaries of our $70m commitment today a range of new sport initiatives, which builds on our $2.5 billion investment in sport since we were elected. https://t.co/SSZchJT1kS "
1126795533459214341,2019-05-10 10:26:04+00:00,"My beautiful wife. Wherever we go, people want to chat to Jen, you can see why. https://t.co/Pits1kqRVC",118,945,"My beautiful wife. Wherever we go, people want to chat to Jen, you can see why. https://t.co/Pits1kqRVC "
1126602045916495872,2019-05-09 21:37:13+00:00,We're for jobs because jobs change lives. That's why we're committing to creating 1.25m more new jobs over the next 5 years.  #BuildingOurEconomy https://t.co/tGYZfP9yGs,93,420,We're for jobs because jobs change lives. That's why we're committing to creating 1.25m more new jobs over the next 5 years.  #BuildingOurEconomy https://t.co/tGYZfP9yGs 
